Carpark,LotType,CarparkID,Latitude,Longitude,Agency,Weekday,Saturdays,Sundays.PublicHolidays,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_basement,sheltered
BLK 54/55/56/58/59 MARINE TERRACE,C,MP7,1.305581278,103.9146888,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 54/55/56/58/59 MARINE TERRACE,Y,MP7,1.305581278,103.9146888,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 7 KING GEORGE AVENUE,C,MR4,1.307914043,103.8599731,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,SUN & PH FR 7AM-10.30PM,NO,N,N
"BLK 804/805, 809 MAUDE ROAD",C,MR5,1.308135251,103.8607918,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,SUN & PH FR 7AM-10.30PM,NO,N,N
BLK 8 FRENCH ROAD,C,MR6,1.307167406,103.8605365,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,SUN & PH FR 7AM-10.30PM,NO,N,N
BLK 801/802 FRENCH ROAD,C,MR7,1.307512039,103.8603528,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,SUN & PH FR 7AM-10.30PM,NO,N,N
BLK 416 PANDAN GARDENS,C,P11,1.321204214,103.7483559,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 415 PANDAN GARDENS,C,P12,1.320567395,103.7481941,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 401/402 PANDAN GARDENS,C,P13,1.32069016,103.7504078,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 403/408 PANDAN GARDENS,C,P14,1.319353618,103.7491754,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 413 PANDAN GARDENS,C,P15,1.319834823,103.7481482,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 412/414 PANDAN GARDENS,C,P16,1.319882381,103.7471648,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 409/411 PANDAN GARDENS,C,P17,1.318821467,103.747384,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 220A PASIR RIS STREET 21,C,PM2,1.370073066,103.9610129,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 225A PASIR RIS STREET 21,C,PM3,1.37180035,103.960933,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 225A PASIR RIS STREET 21,L,PM3,1.37180035,103.960933,HDB,"First 20 minutes: Free, First sub hour: $2, Sub half hour: $4",Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 231A PASIR RIS DRIVE 4,C,PM4,1.374105919,103.9614427,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 235A PASIR RIS STREET 21,C,PM5,1.373770353,103.962608,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 245A PASIR RIS STREET 21,L,PM6,1.370802196,103.9633947,HDB,"First 20 minutes: Free, First sub hour: $2, Sub half hour: $4",Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 245A PASIR RIS STREET 21,C,PM6,1.370802196,103.9633947,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 257A PASIR RIS STREET 21,L,PM7,1.367557638,103.9632499,HDB,"First 20 minutes: Free, First sub hour: $2, Sub half hour: $4",Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 257A PASIR RIS STREET 21,C,PM7,1.367557638,103.9632499,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 458A PASIR RIS DRIVE 4,C,PM8,1.37163599,103.9602559,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 458A PASIR RIS DRIVE 4,L,PM8,1.37163599,103.9602559,HDB,"First 20 minutes: Free, First sub hour: $2, Sub half hour: $4",Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 216A PASIR RIS STREET 21,C,PM9,1.368291967,103.9612161,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 101 TO 109 POTONG PASIR AVENUE 1,C,PP1,1.334004902,103.869214,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 143 TO 145 POTONG PASIR AVENUES 2/3,C,PP2,1.332680145,103.8660545,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 134 TO 142 POTONG PASIR AVENUE 3,C,PP3,1.333601983,103.8658445,HDB,Season Parking only,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,No,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 121 TO 133 POTONG PASIR AVENUE 1,C,PP4,1.334732912,103.8661192,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 113 TO 120 POTONG PASIR AVENUE 1,C,PP5,1.336313102,103.8632229,HDB,Season Parking only,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,No,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 146 POTONG PASIR AVENUE 2,C,PP6,1.332283736,103.8676147,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 101/108 PASIR RIS STREET 12,C,PR1,1.36733184,103.9579998,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 101/108 PASIR RIS STREET 12,L,PR1,1.36733184,103.9579998,HDB,"First 20 minutes: Free, First sub hour: $2, Sub half hour: $4",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 109/129 PASIR RIS STREET 11,C,PR2,1.367274803,103.9554428,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,SUN & PH FR 7AM-10.30PM,NO,N,N
BLK 109/129 PASIR RIS STREET 11,L,PR2,1.367274803,103.9554428,HDB,"First 20 minutes: Free, First sub hour: $2, Sub half hour: $4",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,SUN & PH FR 7AM-10.30PM,NO,N,N
BLK 531/536 PASIR RIS DR 1/PASIR RIS CENTRAL,C,PR3,1.371063423,103.9507156,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 406/411 PASIR RIS DRIVE 6,L,PR4,1.372934646,103.9545205,HDB,"First 20 minutes: Free, First sub hour: $2, Sub half hour: $4",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,SUN & PH FR 7AM-10.30PM,NO,N,N
BLK 406/411 PASIR RIS DRIVE 6,C,PR4,1.372934646,103.9545205,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,SUN & PH FR 7AM-10.30PM,NO,N,N
BLK 441/445 PASIR RIS DRIVE 6,C,PR6,1.369379059,103.957594,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 446/455 PASIR RIS DRIVE 6,C,PR7,1.371009412,103.9576851,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,N
BLK 446/455 PASIR RIS DRIVE 6,L,PR7,1.371009412,103.9576851,HDB,"First 20 minutes: Free, First sub hour: $2, Sub half hour: $4",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,N
BLK 456/461 PASIR RIS DRIVE 4,L,PR8,1.371267841,103.9595744,HDB,"First 20 minutes: Free, First sub hour: $2, Sub half hour: $4",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 456/461 PASIR RIS DRIVE 4,C,PR8,1.371267841,103.9595744,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 33 PARK CRESCENT MSCP,C,PRM,1.285450368,103.84227,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,Y
BLK 45 AND 50 STIRLING RD,H,Q16,1.296933726,103.8037167,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 45 AND 50 STIRLING RD,C,Q16,1.296933726,103.8037167,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 45 AND 50 STIRLING RD,Y,Q16,1.296933726,103.8037167,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 52 STIRLING RD,H,Q17,1.296206346,103.8038246,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 52 STIRLING RD,C,Q17,1.296206346,103.8038246,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 52 STIRLING RD,Y,Q17,1.296206346,103.8038246,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 151 MEI LING STREET,Y,Q19,1.294701007,103.803258,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 151 MEI LING STREET,H,Q19,1.294701007,103.803258,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 151 MEI LING STREET,C,Q19,1.294701007,103.803258,HDB,7am-7pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 80 STRATHMORE AVENUE,C,Q41,1.29410861,103.8094946,HDB,7am-10.30pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-10.30pm,NO,NO,N,N
BLK 115A COMMONWEALTH DRIVE,C,Q65,1.30552382,103.7987539,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 115A COMMONWEALTH DRIVE,Y,Q65,1.30552382,103.7987539,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 115A COMMONWEALTH DRIVE,H,Q65,1.30552382,103.7987539,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 117 COMMONWEALTH DRIVE,Y,Q66,1.30670479,103.7994973,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 117 COMMONWEALTH DRIVE,H,Q66,1.30670479,103.7994973,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 117 COMMONWEALTH DRIVE,C,Q66,1.30670479,103.7994973,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 116-118 COMMONWEALTH CRESCENT,Y,Q67,1.307172812,103.8005433,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 116-118 COMMONWEALTH CRESCENT,H,Q67,1.307172812,103.8005433,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 116-118 COMMONWEALTH CRESCENT,C,Q67,1.307172812,103.8005433,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 110 COMMONWEALTH CRESCENT,Y,Q68,1.306877426,103.7990047,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 110 COMMONWEALTH CRESCENT,H,Q68,1.306877426,103.7990047,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 110 COMMONWEALTH CRESCENT,C,Q68,1.306877426,103.7990047,HDB,7am-7pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 99/102 COMMONWEALTH CRESCENT,Y,Q70,1.307346071,103.8005493,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 99/102 COMMONWEALTH CRESCENT,H,Q70,1.307346071,103.8005493,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 99/102 COMMONWEALTH CRESCENT,C,Q70,1.307346071,103.8005493,HDB,7am-7pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 91/92 COMMONWEALTH DRIVE,H,Q73,1.306253309,103.8003917,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 91/92 COMMONWEALTH DRIVE,C,Q73,1.306253309,103.8003917,HDB,7am-7pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 91/92 COMMONWEALTH DRIVE,Y,Q73,1.306253309,103.8003917,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 45/46/47 HOLLAND DRIVE,C,Q80,1.308536481,103.7927017,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 43 HOLLAND DRIVE,C,Q81,1.307536743,103.7931643,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 12/15 HOLLAND AVENUE,C,Q82,1.310998184,103.7943015,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,"	SURFACE CAR PARK",ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 2/4/6/31/32 HOLLAND CLOSE,H,Q84,1.306780988,103.7966732,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 2/4/6/31/32 HOLLAND CLOSE,C,Q84,1.306780988,103.7966732,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 2/4/6/31/32 HOLLAND CLOSE,Y,Q84,1.306780988,103.7966732,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
NORTH BUONA VISTA ROAD,C,Q85,1.308234591,103.7920457,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,N
BLK 148A MEI LING STREET,Y,Q86,1.294563482,103.8038719,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 148A MEI LING STREET,H,Q86,1.294563482,103.8038719,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 148A MEI LING STREET,C,Q86,1.294563482,103.8038719,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 5A HOLLAND CLOSE,Y,Q87,1.308878937,103.7962384,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 5A HOLLAND CLOSE,H,Q87,1.308878937,103.7962384,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 5A HOLLAND CLOSE,C,Q87,1.308878937,103.7962384,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 19A QUEENS CLOSE,H,Q88,1.292990561,103.8005597,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 19A QUEENS CLOSE,C,Q88,1.292990561,103.8005597,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 19A QUEENS CLOSE,Y,Q88,1.292990561,103.8005597,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 7B COMMONWEALTH AVENUE,Y,Q89,1.306246135,103.7950498,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 7B COMMONWEALTH AVENUE,H,Q89,1.306246135,103.7950498,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 7B COMMONWEALTH AVENUE,C,Q89,1.306246135,103.7950498,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,"Same as weekdays, 7am-10.30pm: Free",MULTI-STOREY CAR PARK,ELECTRONIC PARKING,Whole Day,SUN & PH FR 7AM-10.30PM,YES,N,Y
BLK 102 COMMONWEALTH CRESCENT,Y,Q94,1.307637808,103.8005611,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 102 COMMONWEALTH CRESCENT,H,Q94,1.307637808,103.8005611,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 102 COMMONWEALTH CRESCENT,C,Q94,1.307637808,103.8005611,HDB,7am-7pm: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,7am-7pm,NO,NO,N,N
BLK 181-184 STIRLING ROAD,H,Q96,1.295347167,103.8044053,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 181-184 STIRLING ROAD,C,Q96,1.295347167,103.8044053,HDB,Whole Day: $0.60 per half-hour,Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
BLK 181-184 STIRLING ROAD,Y,Q96,1.295347167,103.8044053,HDB,"7am-10.30pm: $0.65 per lot, 10.30pm-7am: $0.65 per lot",Same as weekdays,Same as weekdays,SURFACE CAR PARK,ELECTRONIC PARKING,Whole Day,NO,YES,N,N
